;sym_1;sym_2;p_value;t_value;c_value;hedge_ratio;zero_crossings
24;BTCUSDT;SOLUSDT;0.03;-3.52;-3.37;398.06927305068365;29
11;BTCUSDT;MATICUSDT;0.03;-3.48;-3.37;34533.64226689124;27
72;BTCUSDT;MNTUSDT;0.0;-9.8;-3.37;77.07428721929634;19
0;BTCUSDT;ETHUSDT;0.04;-3.39;-3.37;14.97454401967272;17
2;BTCUSDT;XRPUSDT;0.0;-4.4;-3.37;45013.337358237615;17
22;BTCUSDT;USDCUSDT;0.02;-3.71;-3.37;28821.937395777357;17
8;BTCUSDT;DOGEUSDT;0.0;-7.65;-3.37;248142.12103213457;14
59;BTCUSDT;STETHUSDT;0.04;-3.43;-3.37;42659.67668798866;11
65;BTCUSDT;LADYSUSDT;0.04;-3.43;-3.37;250092354.58333308;11
64;BTCUSDT;MVLUSDT;0.04;-3.43;-3.37;7933143.682262754;11
63;BTCUSDT;ARBUSDT;0.04;-3.43;-3.37;19874.889105960254;11
62;BTCUSDT;ACSUSDT;0.04;-3.43;-3.37;60022165.10000005;11
61;BTCUSDT;SUIUSDT;0.04;-3.43;-3.37;31261.54432291666;11
60;BTCUSDT;BABYDOGEUSDT;0.04;-3.43;-3.37;15005541275000.008;11
57;BTCUSDT;RPLUSDT;0.04;-3.43;-3.37;682.0700579545453;11
58;BTCUSDT;SDUSDT;0.04;-3.43;-3.37;23085.44811538463;11
67;BTCUSDT;TAMAUSDT;0.04;-3.43;-3.37;588452599.0196079;11
56;BTCUSDT;SSVUSDT;0.04;-3.43;-3.37;731.9776231707316;11
55;BTCUSDT;FXSUSDT;0.04;-3.43;-3.37;2500.9235458333333;11
54;BTCUSDT;LUNAUSDT;0.04;-3.43;-3.37;7502.770637500001;11
53;BTCUSDT;APTUSDT;0.04;-3.43;-3.37;10.003694183333335;11
52;BTCUSDT;LDOUSDT;0.04;-3.43;-3.37;589.0242990745915;11
51;BTCUSDT;ETHWUSDT;0.04;-3.43;-3.37;4357.199435225112;11
49;BTCUSDT;BNBUSDT;0.04;-3.43;-3.37;63.88594624169202;11
48;BTCUSDT;NEARUSDT;0.04;-3.43;-3.37;9.875152613481195;11
66;BTCUSDT;BOBUSDT;0.04;-3.43;-3.37;571639667.6190479;11
70;BTCUSDT;ONEUSDT;0.04;-3.43;-3.37;14290.991690476205;11
68;BTCUSDT;CGPTUSDT;0.04;-3.43;-3.37;1000369.4183333331;11
80;BTCUSDT;PYUSDUSDT;0.04;-3.43;-3.37;30011.082550000003;11
88;BTCUSDT;ACHUSDT;0.04;-3.43;-3.37;30011.082550000003;11
87;BTCUSDT;TUSDUSDT;0.04;-3.43;-3.37;30011.082550000003;11
86;BTCUSDT;MMCUSDT;0.04;-3.43;-3.37;30011.082550000003;11
85;BTCUSDT;KMAUSDT;0.04;-3.43;-3.37;30011.082550000003;11
84;BTCUSDT;GALAUSDT;0.04;-3.43;-3.37;30011.082550000003;11
82;BTCUSDT;APE2SUSDT;0.04;-3.43;-3.37;10003.694183333333;11
81;BTCUSDT;MINAUSDT;0.04;-3.43;-3.37;26713.161414447837;11
79;BTCUSDT;OPUSDT;0.04;-3.43;-3.37;3001.108255;11
46;BTCUSDT;ALGOUSDT;0.04;-3.43;-3.37;460.99265065052737;11
78;BTCUSDT;CWARUSDT;0.04;-3.43;-3.37;6002.21651;11
77;BTCUSDT;SEILORUSDT;0.04;-3.43;-3.37;30011.082550000003;11
76;BTCUSDT;SEIUSDT;0.04;-3.43;-3.37;15005.541275000001;11
75;BTCUSDT;CYBERUSDT;0.04;-3.43;-3.37;3001.108255;11
74;BTCUSDT;WLDUSDT;0.04;-3.43;-3.37;7502.770637500001;11
73;BTCUSDT;PEPE2USDT;0.04;-3.43;-3.37;24802547561983.46;11
71;BTCUSDT;BENUSDT;0.04;-3.43;-3.37;30011.082550000003;11
47;BTCUSDT;FTMUSDT;0.04;-3.43;-3.37;936.9386703505974;11
45;BTCUSDT;TRXUSDT;0.04;-3.43;-3.37;42017.61645082258;11
1;BTCUSDT;EOSUSDT;0.04;-3.43;-3.37;75027.70637499995;11
26;BTCUSDT;LUNCUSDT;0.04;-3.43;-3.37;1500.5541275;11
23;BTCUSDT;TRIBEUSDT;0.04;-3.43;-3.37;6014.245000000001;11
21;BTCUSDT;QNTUSDT;0.04;-3.43;-3.37;422.6913035211265;11
20;BTCUSDT;BCHUSDT;0.04;-3.43;-3.37;30.041123673673674;11
19;BTCUSDT;DYDXUSDT;0.0;-8.64;-3.37;10138.74809248028;11
18;BTCUSDT;COMPUSDT;0.04;-3.43;-3.37;107.29739917769047;11
17;BTCUSDT;AXSUSDT;0.04;-3.43;-3.37;600221.6509999996;11
16;BTCUSDT;MKRUSDT;0.04;-3.43;-3.37;0.42981534146243694;11
15;BTCUSDT;XTZUSDT;0.04;-3.43;-3.37;5456.560463636362;11
14;BTCUSDT;MANAUSDT;0.04;-3.43;-3.37;26795.609419642897;11
13;BTCUSDT;CHZUSDT;0.04;-3.43;-3.37;24.016607072791725;11
12;BTCUSDT;ADAUSDT;0.0;-8.29;-3.37;26809.95916598071;11
10;BTCUSDT;LINKUSDT;0.04;-3.43;-3.37;1008.0981709774949;11
9;BTCUSDT;AAVEUSDT;0.04;-3.43;-3.37;17970.70811377245;11
7;BTCUSDT;LTCUSDT;0.04;-3.43;-3.37;480.1773208000001;11
6;BTCUSDT;XLMUSDT;0.04;-3.43;-3.37;150055.4127499999;11
4;BTCUSDT;SUSHIUSDT;0.04;-3.43;-3.37;225.64723721804515;11
3;BTCUSDT;UNIUSDT;0.04;-3.43;-3.37;152.30186526262383;11
44;BTCUSDT;MPLXUSDT;0.04;-3.43;-3.37;3001.108255;11
25;BTCUSDT;OMGUSDT;0.04;-3.43;-3.37;300.1108254999999;11
27;BTCUSDT;XRP3SUSDT;0.04;-3.43;-3.37;17779.07734004738;11
35;BTCUSDT;SHIBUSDT;0.04;-3.43;-3.37;2412466.442926047;11
43;BTCUSDT;CTCUSDT;0.04;-3.43;-3.37;24599.247991803284;11
42;BTCUSDT;APEUSDT;0.04;-3.43;-3.37;15005.541275000001;11
41;BTCUSDT;HNTUSDT;0.04;-3.43;-3.37;5771.362028846157;11
40;BTCUSDT;BUSDUSDT;0.04;-3.43;-3.37;15005.541275000001;11
39;BTCUSDT;SANDUSDT;0.04;-3.43;-3.37;100.03694183333332;11
38;BTCUSDT;AVAXUSDT;0.04;-3.43;-3.37;4001.4776733333333;11
36;BTCUSDT;ICXUSDT;0.04;-3.43;-3.37;3334.564727777778;11
37;BTCUSDT;ATOMUSDT;0.04;-3.43;-3.37;1604.870724598929;11
34;BTCUSDT;SOLOUSDT;0.04;-3.43;-3.37;15005541274.999977;11
33;BTCUSDT;EOS3LUSDT;0.04;-3.43;-3.37;4001477.6733333324;11
32;BTCUSDT;EOS3SUSDT;0.04;-3.43;-3.37;35727.47922619047;11
31;BTCUSDT;DAIUSDT;0.04;-3.43;-3.37;3912.7878161668837;11
30;BTCUSDT;USTCUSDT;0.04;-3.43;-3.37;1500.5541275;11
28;BTCUSDT;RUNUSDT;0.04;-3.43;-3.37;4287.2975071428555;11
89;BTCUSDT;GALUSDT;0.04;-3.43;-3.37;30011.082550000003;11
50;BTCUSDT;GMTUSDT;0.0;-9.38;-3.37;1036.879479680113;9
83;BTCUSDT;TONUSDT;0.0;-9.75;-3.37;920.1926730400074;7
29;BTCUSDT;BTC3SUSDT;0.0;-4.35;-3.37;2524.3310519812403;5
5;BTCUSDT;DOTUSDT;0.01;-3.91;-3.37;2675.3632150254552;5
69;BTCUSDT;MEEUSDT;0.0;-8.09;-3.37;96.44711141552175;2
